id,x,y,z,scale,twist
117,-7.0,2.0,12.941176,2.6568627,-59.131348
118,-6.0,2.0,13.058824,2.6764705,-44.742416
119,-5.0,2.0,12.705882,2.6176472,6.0780945
120,-4.0,2.0,9.705883,2.1176472,95.39899
121,-3.0,2.0,10.941176,2.3235295,-76.151184
122,-2.0,2.0,5.882353,1.4803922,36.69847
123,0.0,2.0,5.294118,1.382353,-53.822212
124,5.0,2.0,6.0,1.5,-72.3587
125,6.0,2.0,11.764706,2.4607844,70.52994
126,7.0,2.0,12.117647,2.5196078,-46.766113
127,9.0,2.0,6.1764708,1.5294118,-15.923538
128,-9.0,1.0,4.8235297,1.3039216,-46.766113
129,-8.0,1.0,7.352941,1.7254902,95.279785
130,-7.0,1.0,10.823529,2.3039217,-15.923538
131,-6.0,1.0,12.058824,2.509804,-74.566605
132,-5.0,1.0,11.529412,2.4215686,-121.63582
133,-4.0,1.0,9.529412,2.0882354,-81.67307
134,-3.0,1.0,11.0,2.3333335,-63.323265
135,-2.0,1.0,13.235294,2.7058823,-44.253143
136,-1.0,1.0,10.0,2.1666667,43.561417
137,3.0,1.0,11.882353,2.4803922,85.282196
138,4.0,1.0,10.823529,2.3039217,-30.33313
139,5.0,1.0,12.176471,2.5294118,-72.74087
140,6.0,1.0,11.529412,2.4215686,49.693436
141,7.0,1.0,11.411765,2.4019608,-65.455956
142,-8.0,0.0,8.294118,1.8823531,-112.9699
143,-7.0,0.0,8.82353,1.9705883,43.15721
144,-6.0,0.0,7.2352943,1.7058823,-36.694138
145,-5.0,0.0,8.882353,1.9803922,93.43884
146,-4.0,0.0,12.235294,2.5392158,-22.475952
147,-3.0,0.0,10.705883,2.2843137,-83.40488
148,-2.0,0.0,10.823529,2.3039217,74.03053
149,-1.0,0.0,11.882353,2.4803922,41.241776
150,0.0,0.0,13.3529415,2.72549,27.826935
151,2.0,0.0,13.3529415,2.72549,46.92935
152,3.0,0.0,12.0,2.5,-14.448883
153,4.0,0.0,10.823529,2.3039217,-129.63487
154,5.0,0.0,13.470589,2.745098,-9.371902
155,6.0,0.0,11.588236,2.4313726,-79.07518
156,7.0,0.0,4.764706,1.2941177,12.663742
157,8.0,0.0,7.0588236,1.6764706,-100.25622
158,-8.0,-1.0,10.3529415,2.22549,-100.25622
159,-6.0,-1.0,11.823529,2.4705882,98.790985
160,-5.0,-1.0,11.647059,2.4411764,-79.21467
161,-4.0,-1.0,7.764706,1.7941177,-11.181915
162,-3.0,-1.0,8.058824,1.8431373,18.201447
163,-2.0,-1.0,6.0588236,1.5098039,-56.492912
164,-1.0,-1.0,11.058824,2.3431373,37.194122
165,0.0,-1.0,8.470589,1.9117647,-34.998016
166,1.0,-1.0,6.764706,1.627451,19.8423
167,2.0,-1.0,13.294118,2.7156863,36.579544
168,3.0,-1.0,10.411765,2.235294,-106.37844
169,4.0,-1.0,12.588236,2.5980392,60.08629
170,5.0,-1.0,9.705883,2.1176472,-47.745483
171,6.0,-1.0,5.8235297,1.4705882,-73.07295
172,-8.0,-2.0,9.82353,2.137255,22.639038
173,-7.0,-2.0,6.470588,1.5784314,-138.98404
174,-5.0,-2.0,14.3529415,2.8921568,-30.81662
175,-4.0,-2.0,7.705883,1.7843138,-41.51317
176,-1.0,-2.0,5.2352943,1.372549,-100.447655
177,2.0,-2.0,6.8235292,1.637255,65.08305
178,3.0,-2.0,11.3529415,2.3921568,106.987366
179,4.0,-2.0,6.7058825,1.617647,-2.8087006
180,5.0,-2.0,6.352941,1.5588236,1.5642242
181,6.0,-2.0,10.882353,2.3137255,-111.89243
182,9.0,-2.0,6.470588,1.5784314,-34.200745
183,-8.0,-3.0,15.0,3.0,0.80210876
184,-7.0,-3.0,8.0,1.8333334,-34.200745
185,-6.0,-3.0,6.764706,1.627451,-46.256866
186,1.0,-3.0,5.1764708,1.362745,-33.598038
187,3.0,-3.0,5.294118,1.382353,-93.59279
188,4.0,-3.0,10.117647,2.1862745,-35.543
189,5.0,-3.0,8.0,1.8333334,-55.021507
190,6.0,-3.0,6.2352943,1.5392157,66.24097
191,7.0,-3.0,6.0,1.5,-34.24269
192,8.0,-3.0,5.8235297,1.4705882,-35.046616
193,-7.0,-4.0,9.705883,2.1176472,-59.29625
194,-6.0,-4.0,5.7058825,1.4509804,-43.806366
195,-4.0,-4.0,4.8235297,1.3039216,-62.30355
196,-3.0,-4.0,5.3529415,1.3921568,28.834824
197,-2.0,-4.0,5.882353,1.4803922,-67.7699
198,-1.0,-4.0,6.529412,1.5882353,-35.316406
199,0.0,-4.0,6.5882354,1.5980393,50.03917
200,1.0,-4.0,6.0588236,1.5098039,69.822495
201,2.0,-4.0,6.470588,1.5784314,-96.027245
202,3.0,-4.0,5.764706,1.4607843,3.751892
203,5.0,-4.0,6.8235292,1.637255,15.567825
204,6.0,-4.0,5.470588,1.4117647,3.8350067
205,7.0,-4.0,6.529412,1.5882353,62.41751
206,-8.0,-5.0,5.7058825,1.4509804,5.6669464
207,-7.0,-5.0,4.764706,1.2941177,-48.005478
208,-4.0,-5.0,5.470588,1.4117647,-53.7911
209,-3.0,-5.0,6.529412,1.5882353,18.655838
210,-2.0,-5.0,6.882353,1.6470588,-43.573425
211,-1.0,-5.0,7.8235297,1.8039217,49.072372
212,0.0,-5.0,7.0,1.6666666,-111.03726
213,1.0,-5.0,6.4117646,1.5686275,-68.573944
214,2.0,-5.0,9.176471,2.0294118,-38.756805
215,3.0,-5.0,13.117647,2.6862745,23.679718
216,6.0,-5.0,10.411765,2.235294,41.47145
217,7.0,-5.0,7.705883,1.7843138,82.16446
218,-8.0,-6.0,6.5882354,1.5980393,-63.023674
219,-7.0,-6.0,7.4117646,1.7352941,-12.816147
220,-4.0,-6.0,6.1764708,1.5294118,-74.70447
221,-3.0,-6.0,8.411765,1.9019608,30.568756
222,-2.0,-6.0,11.705883,2.4509804,64.11615
223,-1.0,-6.0,8.058824,1.8431373,64.72395
224,0.0,-6.0,6.4117646,1.5686275,-58.913597
225,1.0,-6.0,6.647059,1.6078432,-32.22397
226,2.0,-6.0,10.764706,2.2941177,98.64319
227,3.0,-6.0,14.411765,2.9019608,20.855026
228,7.0,-6.0,4.8235297,1.3039216,58.789734
229,-9.0,-7.0,5.0,1.3333334,58.789734
230,-4.0,-7.0,10.058824,2.1764708,-14.380676
231,-3.0,-7.0,5.117647,1.3529413,36.66017
232,-2.0,-7.0,5.294118,1.382353,-69.01459
233,-1.0,-7.0,6.8235292,1.637255,40.195023
234,0.0,-7.0,6.0,1.5,-136.25432
235,2.0,-7.0,7.941177,1.8235295,77.120544
